date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:37	112672/112672	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:51:05%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/Peces_103577_1024x1024.jpg?v=1544290634	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Peces_103577_1024x10240167.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:21:38	66031/66031	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:51:14%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/IMG_1591_7fd78fcf-0bb3-467b-81c8-63dc1b97814e_1024x1024.jpg?v=1544287919	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/IMG_1591_7fd78fcf-0bb3-467b-81c8-63dc1b97814e_1024x10241275.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:21:49	142745/142745	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:51:16%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/Pulpos_103539_1024x1024.JPG?v=1544290423	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Pulpos_103539_1024x1024bbe0.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:21:50	132867/132867	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:51:17%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/Mural_Pajaros_1024x1024.JPG?v=1544290318	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Mural_Pajaros_1024x10245de7.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:21:58	109276/109276	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:51:27%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/20160616_111059_2f613374-54b5-4c22-89ee-cd361f89c160_1024x1024.jpg?v=1544290096	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/20160616_111059_2f613374-54b5-4c22-89ee-cd361f89c160_1024x1024ae97.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:21:58	50432/50432	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:51:36%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/home_burger_1024x1024.jpg?v=1544287950	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/home_burger_1024x1024fc51.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:21:59	128302/128302	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:51:26%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/Centolla_1024x1024.jpg?v=1544286083	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Centolla_1024x1024b36a.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:22:07	116666/116666	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:51:37%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/Foto_1_5ba044a0-d05d-445a-b3a1-c24a00fa089f_1024x1024.jpg?v=1544289450	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Foto_1_5ba044a0-d05d-445a-b3a1-c24a00fa089f_1024x1024b0a4.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:22:08	19185/19185	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Nov%202020%2009:51:53%20GMT	https://player.vimeo.com/api/player.js	E:/Web-Dev-Pro/Misc/Hackathon/player.vimeo.com/api/player.js	(from https://vajillasbynuriablanco.com/pages/nuriablanco)
15:22:10	55525/55525	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:51:48%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/nuriablanco_1024x1024.jpg?v=1541815979	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/nuriablanco_1024x10243cab.jpg	(from https://vajillasbynuriablanco.com/pages/nuriablanco)
15:22:13	107531/107531	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Nov%202020%2004:52:11%20GMT	https://cdn.shopify.com/s/files/1/0080/9877/5107/files/Tiburon_Mural_102067_9cf2dbe1-a804-4b9f-9114-856aa5933f07_1024x1024.jpg?v=1544285546	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Tiburon_Mural_102067_9cf2dbe1-a804-4b9f-9114-856aa5933f07_1024x1024c723.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:22:14	130963/130963	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:51:45%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/mural_sushita_1024x1024.jpg?v=1544287864	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/mural_sushita_1024x1024e792.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
